,User,Follows_Count,Language,Date_Tweet,Source_of_Tweet,Tweet,Hashtags,Place
8555,SaraJoAnthony,2480,en,2010-06-28 23:56:57+00:00,Twitter Web Client,"Apologies are essential and when you have made yours, we can all be friendly followers again  ;) #WorldCup hashtag just for the lil ball :)",['WorldCup'],
8556,Ms_Mide,234,en,2010-06-28 23:56:56+00:00,Twitter Web Client,i wish this #worldcup will just end,['worldcup'],
8557,JayTooSm00th,315,en,2010-06-28 23:56:53+00:00,Twitter Web Client,Brazil takin it all #worldcup,['worldcup'],
8558,iheartjustin002,0,en,2010-06-28 23:56:51+00:00,Twitter Web Client,HE IS SO TALENTED!!! HE can drive now IS THERE NOTHING HE CANT DO!! http://shortlinks.co.uk/1svo #worldcup,['worldcup'],
8559,VuvuzelaLovers,9,en,2010-06-28 23:56:50+00:00,Twitter Web Client,And the Nobel peace prize goes to ... Vuvuzela! #vuvuzela #worldcup,"['vuvuzela', 'worldcup']",
8560,iheartjustin6,2,en,2010-06-28 23:56:49+00:00,Twitter Web Client,I would chauffer his little sexyness around all the time! http://shortlinks.co.uk/1svo Felipe Melo Venha Holanda #worldcup BOCA GALVÃ,['worldcup'],
8561,IheartJustin03,0,en,2010-06-28 23:56:40+00:00,Twitter Web Client,I DIDNT BELIEB IT AT FIRST!  http://ucuuy.notlong.com Venha Holanda Michel Bastos CALA BOCA GALVAO Daniel Alves Mick Jagger #worldcup,['worldcup'],
8562,USAFooty,172,en,2010-06-28 23:56:34+00:00,Twitter Web Client,#usa #worldcup update : Tony Gonzalez Falcons Jerseys are Best Sellers in Atlanta http://bit.ly/cYWJxC,"['usa', 'worldcup']",
8563,OtherAndrew,519,en,2010-06-28 23:56:33+00:00,Twitter Web Client,@franksting I've got my own little #worldcup blog post on its way over the video ref debate. And I'd never even watched soccer until this WC,['worldcup'],
8564,iheartjustin04,3,en,2010-06-28 23:56:29+00:00,Twitter Web Client,When will the Bieb come take me for a ride ;) http://xrl.us/bhp6tq #worldcup Felipe Melo CHILE CTM Laranja Mecâca Mick Jagger,['worldcup'],
8565,lousyhumans,1708,en,2010-06-28 23:56:28+00:00,Twitter Web Client,"So I hear the Netherlands and Brazil advanced today. In other news, dog bites man. #worldcup",['worldcup'],
8566,MAILworldcup,172,en,2010-06-28 23:56:27+00:00,Twitter Web Client,#worldcup WORLD CUP 2010: England must use Germany playmaker Ozil as a blueprint... http://bit.ly/9R8QPo,['worldcup'],
8567,YohanesSubekti,154,en,2010-06-28 23:56:25+00:00,ÜberSocialOrig,3-0 RT @ihatequotes: GO BIG OR GO HOME: #BRA vs #CHI - Pick one! #WorldCup http://myloc.me/8yCZn,"['BRA', 'CHI', 'WorldCup']",
8568,iheartjustin6,2,en,2010-06-28 23:56:23+00:00,Twitter Web Client,We ALLLLLLL know heidi REALLY sent that TWEET. http://yep.it/mtesme #worldcup Laranja Mecâca Michel Bastos Mick Jagger Venha Holanda,['worldcup'],
8569,PredictWorldCup,49,en,2010-06-28 23:56:21+00:00,twitterfeed,WORLD CUP 2010: Brazil 3 Chile 0 - Samba stars turn on the style to reach last eight http://bit.ly/aHsjqF #WorldCup,['WorldCup'],
8570,USAFooty,172,en,2010-06-28 23:56:20+00:00,Twitter Web Client,#usa #worldcup update : Lastest USA World Cup 2010 News http://bit.ly/dlHrom,"['usa', 'worldcup']",
8571,Waqar07Alam,238,en,2010-06-28 23:56:16+00:00,Pring,#BRA 1:0 #CHI: 34'JUAN{Brazil)scores!! #worldcup,"['BRA', 'CHI', 'worldcup']",
8572,amymilll,1332,en,2010-06-28 23:56:15+00:00,Twitter Web Client,"#Shoutout to the beautiful people of Ghana,hope they win the #WorldCup","['Shoutout', 'WorldCup']",
8573,hellomotow8,323,en,2010-06-28 23:56:12+00:00,Twitter Web Client,Just finished off playing The Worlds Hardest game :) http://www.worldshardestgame3.com Venha Holanda Martin Amis Deathly Hallows #worldcup,['worldcup'],
8574,RebbyYumYu,1099,en,2010-06-28 23:56:09+00:00,TweetDeck,"I feel like #USA's goal is the next ""where were you when..."" http://bit.ly/ciL9Jk  P.S.  This video made me cry. I love soccer... #worldcup","['USA', 'worldcup']",
8575,SweetDatingInfo,1028,en,2010-06-28 23:56:06+00:00,Twitter Web Client,Brazil vs Chile.Looking forward to the #BRA versus #CHI game of #worldcup. I see it live at http://bit.ly/ct4fzq,"['BRA', 'CHI', 'worldcup']",
8576,ratemyop,784,en,2010-06-28 23:56:05+00:00,Twitter Web Client,#esp to win #worldcup yeiiiiiiiiiiiiiiiiiiiiiiii,"['esp', 'worldcup']",
